Symbol,Sector,Company_Name,Price,Price_Change_1d,Price_Change_3d,Price_Change_5d,Vol_Expansion,Turn_Expansion,Curr_Delivery,Avg_Delivery,Delivery_Change,RS_Score,Accumulation_Score,Market_Cap,Is_SME,Bucket,Dist_From_High,High_52w
WABAG,,VA Tech Wabag Limited,1983.5999755859373,8.881321902581476,13.070735927470615,25.71935062742652,2.7707739950191774,3.152765108175506,30.13,36.588,-6.458000000000002,99.25333333333334,79.9570732835251,12360.9350144,False,BUCKET B,0.0,1983.5999755859373
GANESHHOU,,Ganesh Housing Limited,769.0,0.32615786040443573,0.18238984609057726,0.819403474270731,3.528010886822409,3.5429869907734446,56.91,52.064,4.8459999999999965,33.653333333333336,79.94533333333334,6412.4669952,False,Neutral / Other,25.018374500347495,1025.5845947265625
NELCO,,Nelco Limited,940.3499755859376,7.850665128479048,29.596197247193246,30.14324150198101,7.224431211203661,7.908362098777738,7.91,27.721999999999998,-19.811999999999998,99.62666666666667,79.944,2145.7281024,False,Neutral / Other,16.283391266500345,1123.2537841796875
PANAMAPET,Specialty Chemicals,Panama Petrochem Limited,483.25,18.37109614206981,25.65002400700238,28.098078197481772,21.649701379808423,26.17876385835126,9.09,31.860000000000003,-22.770000000000003,99.46666666666667,79.92,2923.3532928,False,BUCKET B,0.0,483.25
ESAFSFB,,ESAF Small Finance Bank,36.33000183105469,13.460341385616687,17.117992569087892,27.563210726800296,3.997042413615132,4.690426091877515,18.7,30.104000000000003,-11.404000000000003,99.30666666666667,79.896,1874.4530944,False,BUCKET B,0.0,36.33000183105469
CAPLIPOINT,,Caplin Point Laboratories Limited,2503.5,6.107489345621559,5.286397030474659,3.9745804980132013,3.3684533842628475,3.5440710556281596,36.15,38.108,-1.9579999999999984,63.519999999999996,79.88933333333333,19029.5277568,False,BUCKET B,0.0,2503.5
RELTD,Power Equipment,Ravindra Energy Limited,170.75,18.609330395059104,19.807742689630224,25.551470588235293,15.92129015192587,18.85724121590198,15.17,43.378,-28.208,99.2,79.88,3116.6615552,False,BUCKET B,6.510074150998016,182.63999938964844
RML,,Rane (Madras) Limited,1121.1500244140625,13.620473718172029,14.45562129403256,21.50753328076297,35.05920740748212,40.36205053216729,7.98,42.760000000000005,-34.78,98.61333333333333,79.792,3098.5375744,False,BUCKET B,0.0,1121.1500244140625
MAL,,,35.0,-0.7092198581560284,9.375,20.481930875057433,6.018518518518518,6.387758103986317,78.46,92.274,-13.814000000000007,98.4,79.76,101.8294528,True,BUCKET C,5.020348848644607,36.849998474121094
ELGIEQUIP,,Elgi Equipments Limited,612.75,1.7857142857142856,1.9042096190717968,1.4738800652308521,2.666531978359772,2.708268508209922,71.21,57.774,13.435999999999993,39.733333333333334,79.74854188211678,19316.4214272,False,BUCKET B,1.5108935216896264,622.1500244140625
VENUSPIPES,,Venus Pipes and Tubes Limited,1546.0999755859375,4.297082442173679,7.15968417395848,9.319092286464999,13.383445586517459,14.232552122415425,42.31,50.08,-7.769999999999996,88.37333333333333,79.74266666666668,3202.9177856,False,BUCKET B,5.417778034663779,1634.662353515625
